sector,Carbon Footprint [kg CO2-eq.],Land footprint [km2],Material footprint [kt],Water footprint [Mm3],Energy footprint [TJ]
Aluminium and aluminium products,5575999.712729316,3.625148192303803,12.88565145013969,0.05627964659207152,785.5774203081507
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0,0.0,0.0,0.0,0.0
"Lead, zinc and tin and products thereof",1826348.2861098866,0.8108443264737963,51.29379302603111,0.021562304757985963,253.12575760600276
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0,0.0,0.0,0.0,0.0
Copper products,13178497.736995608,4.04597723189115,340.574191307122,0.0895085937505157,989.3997870214862
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0,0.0,0.0,0.0,0.0
Other non-ferrous metal products,4295183.555450876,3.8105591696316443,13.563258291724663,0.05819279746731586,502.3046623177265
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0,0.0,0.0,0.0,0.0
Foundry work services,3058721.7794361217,0.8589551836641878,2.9701695963738217,0.011220688494759438,225.61375872290535
"Fabricated metal products, except machinery and equipment (28)",1611246591.2527099,1129.1356408777795,3713.07883380738,21.176641083913164,113496.78958342229
Machinery and equipment n.e.c. (29),5210585422.2136345,3717.62117586378,9375.70621066998,57.687777456500825,375263.8013388936
Office machinery and computers (30),861749185.5317521,497.79707233272387,1404.7570001492434,10.640380680717058,60506.88569610093
Electrical machinery and apparatus n.e.c. (31),1079172901.8562338,742.9576810943482,2489.0676422501956,12.256467483484377,80505.47840200347
"Radio, television and communication equipment and apparatus (32)",1793405309.1853235,1130.1300101754643,3288.126940313309,20.242306845014298,136917.78978600496
"Medical, precision and optical instruments, watches and clocks (33)",1707335391.6528895,989.2985028953328,2073.6564097892333,14.804472378689358,101175.65768377554
"Motor vehicles, trailers and semi-trailers (34)",4893048062.973465,3319.1633428480427,7874.6277200502145,45.98691835244509,353397.7457670283
Other transport equipment (35),522494437.67983097,435.5609138672246,953.9944835507985,5.3657625789803065,36075.622657573556
Furniture; other manufactured goods n.e.c. (36),2874657805.877409,7005.11732036911,6300.360334311936,28.2422685005118,367152.24873229174
